"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp"
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","68457893844371092492884431960164572727521088980977330207829781873715759601725","0x3f322612d1d4532f5feba7b0ed1d536fb036e7e10f02fc93f00762f3eb7c6a7e",0.39965200000000006,3125.946961,-1249.290954,0.0,"Bitcoin Up or Down - March 9, 7:35PM-7:40PM ET",btc-updown-5m-1773099300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773099300,Up,0,Down,"36673061551297832169898455810393595198850877967041296027003611901372941210721","2026-03-09T00:00:00Z",1773099735
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","36673061551297832169898455810393595198850877967041296027003611901372941210721","0x3f322612d1d4532f5feba7b0ed1d536fb036e7e10f02fc93f00762f3eb7c6a7e",0.48635,3830.637057,1967.606724,1.0,"Bitcoin Up or Down - March 9, 7:35PM-7:40PM ET",btc-updown-5m-1773099300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773099300,Down,1,Up,"68457893844371092492884431960164572727521088980977330207829781873715759601725","2026-03-09T00:00:00Z",1773099734
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","73679140084215897118304853515549429583221999607889791486401927187072058882671","0x5eb1bf5f3193ce16f7e76e7a6a6d22f4d28686004816aec07d36d45af48aa730",0.369279,4298.420457,-1587.316407,0.0,"Bitcoin Up or Down - March 9, 7:30PM-7:35PM ET",btc-updown-5m-1773099000,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773099000,Up,0,Down,"15397995520370225205257672853275583601718649605033515359570758565905071574468","2026-03-09T00:00:00Z",1773099538
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","15397995520370225205257672853275583601718649605033515359570758565905071574468","0x5eb1bf5f3193ce16f7e76e7a6a6d22f4d28686004816aec07d36d45af48aa730",0.641653,4868.49333,1744.609979,1.0,"Bitcoin Up or Down - March 9, 7:30PM-7:35PM ET",btc-updown-5m-1773099000,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773099000,Down,1,Up,"73679140084215897118304853515549429583221999607889791486401927187072058882671","2026-03-09T00:00:00Z",1773099538
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","63086101800029002301986760024627182189154520995211576919189387655397273687671","0xdfbb36a8134c4c0b36b4a2955e27451b3103e4f96c56c4951f8fb09ad13f628d",0.393581,2714.342673,-1068.313703,0.0,"Bitcoin Up or Down - March 9, 7:25PM-7:30PM ET",btc-updown-5m-1773098700,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773098700,Down,1,Up,"5747876487219459993197035524581623731237195818872640949676053543390409762553","2026-03-09T00:00:00Z",1773099336
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","5747876487219459993197035524581623731237195818872640949676053543390409762553","0xdfbb36a8134c4c0b36b4a2955e27451b3103e4f96c56c4951f8fb09ad13f628d",0.603567,3995.2053,1583.831222,1.0,"Bitcoin Up or Down - March 9, 7:25PM-7:30PM ET",btc-updown-5m-1773098700,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773098700,Up,0,Down,"63086101800029002301986760024627182189154520995211576919189387655397273687671","2026-03-09T00:00:00Z",1773099336
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","6723113417346768184511261034316427369455361405712908269688366555274079974550","0xf439953db436c48a76d7f2cdb1dab3649bc5eb4da940fd9cfcf2af355f248646",0.39617300000000005,3795.143853,2291.610327,1.0,"Bitcoin Up or Down - March 9, 7:20PM-7:25PM ET",btc-updown-5m-1773098400,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773098400,Up,0,Down,"34061437086977307086736484497251999080357019255071607152248929722170518030642","2026-03-09T00:00:00Z",1773098932
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","34061437086977307086736484497251999080357019255071607152248929722170518030642","0xf439953db436c48a76d7f2cdb1dab3649bc5eb4da940fd9cfcf2af355f248646",0.502336,4797.931011,-2410.173472,0.0,"Bitcoin Up or Down - March 9, 7:20PM-7:25PM ET",btc-updown-5m-1773098400,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773098400,Down,1,Up,"6723113417346768184511261034316427369455361405712908269688366555274079974550","2026-03-09T00:00:00Z",1773098931
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","95699420774981802314536690826709045324768927666034299991116979616697206458625","0x4b59008c82cc5b7427560037d9ed61c0e21f484b1c0969f4f543e2561d149dbf",0.176001,4808.000853,-846.212958,0.0,"Bitcoin Up or Down - March 9, 7:15PM-7:20PM ET",btc-updown-5m-1773098100,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773098100,Up,0,Down,"94324881990393604341060209299264812461266560588475857745517135314245849538586","2026-03-09T00:00:00Z",1773098533
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","94324881990393604341060209299264812461266560588475857745517135314245849538586","0x4b59008c82cc5b7427560037d9ed61c0e21f484b1c0969f4f543e2561d149dbf",0.802858,4778.953816,942.1325129999999,1.0,"Bitcoin Up or Down - March 9, 7:15PM-7:20PM ET",btc-updown-5m-1773098100,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773098100,Down,1,Up,"95699420774981802314536690826709045324768927666034299991116979616697206458625","2026-03-09T00:00:00Z",1773098533
